sap_no,part_no,part_description,planned_output,is_active
10035058,P002632,P002632 Middle Divided Plate Left,,1
10035327,P003601,"P003601 Flat head hexagonal rivet nut M10, L=20, colored zinc",,1
20004912,PM050290,PM050290 Bubble board 500×550×20,,1
20004913,PM050291,PM050291 Bubble board 1030×498×20,,1
20004914,PM050292,PM050292 Bubble board 1000×1000×20,,1
20004915,P002941,P002941 Wooden pallet 1125×622×145,,1
20004928,P002940,P002940 Paper corner guard 1100×100×100,,1
20004929,P003302,P003302 Edge guard 1030×50×50,,1
20004935,PM030249,PM030249 TC-4210TSR five-sided carton,,1
20004971,PM090137,PM090137 TC-4210TSR wooden disassy,,1
20004976,PM040149,PM040149 Plastic bag (1700)×1400,,1
20004986,PM080422,PM080422 TC-4210TSR color sticker,,1
20004987,PM080423,PM080423 TC-4210TSR large warning label,,1
20004996,PM080445,PM080445 Box label,,1
20005000,PM090138,PM090138 TC-4210TSR English manual,,1
20005010,P002935,P002935 PVC pad 1052×551×2,,1
20005026,PM060101,PM060101 PVC pad 566x494x2,,1
20005239,PM080467,PM080467 TC-4210TBLK color sticker,,1
20005240,PM080469,PM080469 PM080469 Box Mark,,1
20005241,PM080470,PM080470 TC-4210TBLU color sticker,,1
20005242,PM080471,PM080471 TC-4210TBLU large warning label,,1
20005243,PM080472,PM080472 Box label,,1
20005244,PM080473,PM080473 TC-4210TBLU color sticker,,1
20005245,PM080468,PM080468 TC-4210TBLU large warning label,,1
20005246,PM080474,PM080474 TC-4210TBLU large warning label,,1
20005247,PM080475,PM080475 Box label,,1
20005328,P003597,P003597 Caster paper corner protector 50×30×3mm,,1
20005329,P003598,P003598 Lower left wood strip 480×68×25mm,,1
30023039,P002745,P002745 Drawer Handle Big(Left) Bend,400,1
30023040,P002745,P002745 Drawer Handle Big(Left) Press,300,1
30023051,P002626,P002626 Cover Support Bend,200,1
30023080,P002751,P002751 Drawer Handle Extra Big(Left) Bend,400,1
30023081,P002751,P002751 Drawer Handle Extra Big(Left) Press,300,1
30023099,P002886,P002886 Top Reinf Bend,100,1
30023100,P002886,P002886 Top Reinf Laser,327.2727273,1
30023110,P002920,P002920 Drawer Body Big(Left) Bend,100,1
30023111,P002920,P002920 Drawer Body Big(Left) Press,50,1
30023112,P002922,P002922 Drawer Body Extra Big(Left) Bend,100,1
30023113,P002922,P002922 Drawer Body Extra Big(Left) Press,50,1
30023114,P002927,P002927 Drawer Handle Small Right Bend,400,1
30023116,P002928,P002928 Drawer Body Small Right Bend,100,1
30023117,P002928,P002928 Drawer Body Small Right Press,50,1
30023118,P002930,P002930 Drawer Handle Big Right Bend,400,1
30023119,P002930,P002930 Drawer Handle Big Right Press,300,1
30023120,P002931,P002931 Drawer Body Big Right Bend,100,1
30023121,P002931,P002931 Drawer Body Big Right Press,50,1
30023148,P002626,P002626 Cover Support+M6,150,1
30023157,P002898,P002898 Bottom Panel Bend,66.66666667,1
30023158,P002900,P002900 Side Bottom Panel Reinf Bend,200,1
30023159,P002901,P002901 Rear Plate Laser,105.8823529,1
30023160,P002902,P002902 Side Panel Right Bend,133.3333333,1
30023161,P002903,P002903 Top Panel Bend,200,1
30023162,P002903,P002903 Top Panel IPC,,1
30023163,P002905,P002905 Horizontal Groove Bend,200,1
30023164,P002907,P002907 Middle Divided Plate Right Bend,133.3333333,1
30023165,P002907,P002907 Middle Divided Plate Right IPC,,1
30023166,P002909,P002909 BBS Holder Left Bend,100,1
30023167,P002909,P002909 BBS Holder Left IPC,,1
30023168,P002911,P002911 BBS Holder Right Bend,100,1
30023169,P002911,P002911 BBS Holder Right IPC,,1
30023170,P002912,P002912 Balance Bar Bend,200,1
30023171,P002912,P002912 Balance Bar Paint,900,1
30023172,P002913,P002913 Drawer Back Top Large Bend,400,1
30023173,P002914,P002914 Drawer Handle Top Large Bend,400,1
30023174,P002914,P002914 Drawer Handle Top Large IPC,,1
30023175,P002915,P002915 Drawer Body Top Large Bend,100,1
30023176,P002915,P002915 Drawer Body Top Large Press,50,1
30023177,P002916,P002916 Drawer Back Top Small Bend,400,1
30023178,P002918,P002918 Drawer Body Top Small Bend,100,1
30023179,P002918,P002918 Drawer Body Top Small Press,50,1
30023180,P002919,P002919 Drawer Back Big(Left) Bend,400,1
30023181,P002921,P002921 Drawer Back Extra Big(Left) Bend,400,1
30023182,P002923,P002923 Drawer Back Large Left Bend,400,1
30023183,P002924,P002924 Drawer Handle Large Left Bend,400,1
30023184,P002924,P002924 Drawer Handle Large Left IPC,,1
30023185,P002925,P002925 Drawer Body Large Left Bend,100,1
30023186,P002925,P002925 Drawer Body Large Left Press,50,1
30023187,P002926,P002926 Drawer Back Small Right Bend,400,1
30023188,P002927,P002927 Drawer Handle Small Right IPC,,1
30023189,P002929,P002929 Drawer Back Big Right Bend,400,1
30023191,P002932,P002932 Drawer Back Large Right Bend,400,1
30023192,P002933,P002933 Drawer Handle Large Right Bend,400,1
30023193,P002933,P002933 Drawer Handle Large Right IPC,,1
30023194,P002934,P002934 Drawer Body Large Right Bend,100,1
30023195,P002934,P002934 Drawer Body Large Right Press,50,1
30023196,P003217,P003217 Locking Bar Holder Press,300,1
30023203,P003301,P003301 Drawer Handle Top Small Bend,400,1
30023204,P003301,P003301 Drawer Handle Top Small IPC,,1
30023205,U000461,U000461 Body Paint,72,1
30023206,U000461,U000461 Body Spot,4.736842105,1
30023207,U000461,U000461 Body Weld,4.285714286,1
30023208,U000462,U000462 Drawer Top Large Paint,180,1
30023209,U000462,U000462 Drawer Top Large Spot,24,1
30023210,U000463,U000463 Drawer Top Small Paint ,180,1
30023211,U000463,U000463 Drawer Top Small Spot,27.69230769,1
30023212,U000464,U000464 Drawer Big(Left) Paint,360,1
30023213,U000464,U000464 Drawer Big(Left) Spot,32.72727273,1
30023214,U000465,U000465 Drawer Extra Big(Left) Paint,360,1
30023215,U000465,U000465 Drawer Extra Big(Left) Spot,27.69230769,1
30023216,U000466,U000466 Drawer Large Left Paint,360,1
30023217,U000466,U000466 Drawer Large Left Spot,27.69230769,1
30023218,U000467,U000467 Drawer Small Right Paint,540,1
30023219,U000467,U000467 Drawer Small Right Spot,51.42857143,1
30023220,U000468,U000468 Drawer Large Right Paint,540,1
30023221,U000468,U000468 Drawer Large Right Spot,40,1
30023222,U000469,U000469 Drawer Big Right Paint,540,1
30023223,U000469,U000469 Drawer Big Right Spot,40,1
30023224,U000470,U000470 Bottom Panel Spot,18.75,1
30023225,U000471,U000471 Rear Plate Spot,26.66666667,1
30023226,U000472,U000472 Side Panel Left Spot,90,1
30023227,U000472,U000472 Side Panel Right Spot,90,1
30023228,U000473,U000473 Top Panel Spot,32.72727273,1
30023229,U000474,U000474 Middle Divided Plate Spot,31.30434783,1
30023230,U000475,U000475 BBS Holder Left Spot,60,1
30023231,U000475,U000475 BBS Holder Right Spot,60,1
30023585,U000461BLK,U000461BLK Body Paint,72,1
30023586,P002912BLK,P002912BLK Balance Bar Paint,900,1
30023587,U000462BLK,U000462BLK Drawer Top Large Paint,180,1
30023588,U000463BLK,U000463BLK Drawer Top Small Paint ,180,1
30023589,U000464BLK,U000464BLK Drawer Big(Left) Paint,360,1
30023590,U000465BLK,U000465BLK Drawer Extra Big(Left) Paint,360,1
30023591,U000466BLK,U000466BLK Drawer Large Left Paint,360,1
30023592,U000467BLK,U000467BLK Drawer Small Right Paint,540,1
30023593,U000469BLK,U000469BLK Drawer Big Right Paint,540,1
30023594,U000468BLK,U000468BLK Drawer Large Right Paint,540,1
30023595,U000461BLU,U000461BLU Body Paint,72,1
30023596,P002912BLU,P002912BLU Balance Bar Paint,900,1
30023597,U000462BLU,U000462BLU Drawer Top Large Paint,180,1
30023598,U000463BLU,U000463BLU Drawer Top Small Paint ,180,1
30023599,U000464BLU,U000464BLU Drawer Big(Left) Paint,360,1
30023600,U000465BLU,U000465BLU Drawer Extra Big(Left) Paint,360,1
30023601,U000466BLU,U000466BLU Drawer Large Left Paint,360,1
30023602,U000467BLU,U000467BLU Drawer Small Right Paint,540,1
30023603,U000469BLU,U000469BLU Drawer Big Right Paint,540,1
30023604,U000468BLU,U000468BLU Drawer Large Right Paint,540,1
30023605,U000461GRY,U000461GRY Body Paint,72,1
30023606,P002912GRY,P002912GRY Balance Bar Paint,900,1
30023607,U000462GRY,U000462GRY Drawer Top Large Paint,180,1
30023608,U000463GRY,U000463GRY Drawer Top Small Paint ,180,1
30023609,U000464GRY,U000464GRY Drawer Big(Left) Paint,360,1
30023610,U000465GRY,U000465GRY Drawer Extra Big(Left) Paint,360,1
30023611,U000466GRY,U000466GRY Drawer Large Left Paint,360,1
30023612,U000467GRY,U000467GRY Drawer Small Right Paint,540,1
30023613,U000469GRY,U000469GRY Drawer Big Right Paint,540,1
30023614,U000468GRY,U000468GRY Drawer Large Right Paint,540,1
37000200,37000200,37000200,,1
37000201,37000201,37000201,,1
37000202,37000202,37000202,,1
37000203,37000203,37000203,,1
37000204,37000204,37000204,,1
37000205,37000205,37000205,,1
40013722,TC-4210TSR,TC-4210TSR,25,1
40013812,TC-4210TSBLK,TC-4210TSBLK,25,1
40013814,TC-4210TSGRY,TC-4210TSGRY,25,1
40013816,TC-4210TSBLU,TC-4210TSBLU,25,1
10034199,P001089,P001089 power cord cover 74x74x1.5,,1
10034200,P001560,P001560 Tool cabinet round lock head,,1
10034210,P002893,P002893 drive shaft Φ6x512,,1
10034211,P002894,P002894 four-tooth rear lock (barb) 425x22x2,,1
10034212,P003041,P003041 Pneumatic bracket,,1
10034213,U000454,U000454 hinge 951x38x1.2,,1
10034220,P001273,P001273 carriage screw M6x20,,1
10034221,P001274,P001274 self-locking nut M6,,1
10034223,P002607,P002607 open aluminum rivet 4.8x10,,1
10034226,P001105,P001105 Power cord rubber cover,,1
10034250,P002563,P002563 Locking Slide Holder,,1
10034251,P002564,P002564 Locking Slide GP,,1
10034252,P002565,P002565 Side Panel Left GP,,1
10034253,P002566,P002566 Cover Support Left GP,,1
10034254,P002567,P002567 Side Panel Right,,1
10034255,P002568,P002568 Cover Support Right GP,,1
10034258,P002572,P002572 Cover Left GP,,1
10034259,P002573,P002573 Cover Reinf GP,,1
10034260,P002574,P002574 Cover Right GP,,1
10034264,P002578,P002578 BBS Holder Front Reinf GP,,1
10034268,P002582,P002582 Middle Divided Plate Reinf GP,,1
10034273,P002588,P002588 Angle Plate,,1
10034274,P002589,P002589 Top Cover Left GP,,1
10034275,P002590,P002590 Top Cover Right GP,,1
10034331,P002874,P002874 Rear Plate GP,,1
10034332,P002876,P002876 Top Panel GP,,1
10034333,P002877,P002877 Bottom Panel GP,,1
10034334,P002878,P002878 Bottom Reinf GP,,1
10034335,P002879,P002879 BBS Holder Left GP,,1
10034336,P002880,P002880 BBS Holder Reinf GP,,1
10034337,P002881,P002881 BBS Holder Right GP,,1
10034338,P002882,P002882 Middle Divided Left GP,,1
10034339,P002883,P002883 Middle Divided Right GP,,1
10034340,P002884,P002884 Balance Bar GP,,1
10034341,P002885,P002885 Top Lid GP,,1
10034343,P002887,P002887 Lock Hook,,1
10034344,P002888,P002888 Top Lid Lock Hook,,1
10034345,P002889,P002889 Drawer Back Big(Left) GP,,1
10034346,P002890,P002890 Drawer Back Extra Big(Left) GP,,1
10034347,P002891,P002891 Drawer Back Small Right GP,,1
10034348,P002892,P002892 Drawer Back Big Right GP,,1
10035331,P003605,P003605 Side panel front corner reinf,,1
20004240,P002614,P002614 Black anti-collision rubber pellets,,1
20004908,PM050288,PM050288 foam board 1084x585x20,,1
20004909,PM050205,PM050205 foam board 673x585x20,,1
20004910,PM050289,PM050289 foam board 1040x673x20,,1
20004911,P002897,P002897 Wooden pallet 1105x610x120,,1
20004927,P002896,P002896 paper corner protector 1060x100x100,,1
20004934,PM030248,PM030248 CH-4208HGR five-sided carton,,1
20004942,PM070225,PM070225 cardboard 1105x610,,1
20004946,PM080421,PM080421 Carton mark,,1
20004966,P002897,P002897 wood pallet,,1
20004975,PM040147,PM040147 Plastic bag 1700x1300,,1
20004983,PM080418,PM080418 Trademark sticker,,1
20004984,PM080419,PM080419 CH-4208HGR color sticker,,1
20004997,PM090136,PM090136 CH-4208HGR large warning label,,1
20004999,PM090135,PM090135 CH-4208HGR English manual,,1
20005009,P002895,P002895 Center tray PVC pad 943x513x2,,1
20005012,PM040148,PM040148 PE film 1105x610,,1
20005015,PM050242,PM050242 PEP 1785x80x1,,1
20005025,PM060100,PM060100 Cover EVA pad 652x16x2,,1
20005230,PM080461,PM080461 CH-4208HGBLU color sticker,,1
20005231,PM080462,PM080462 Box mark,,1
20005232,PM080463,PM080463 CH-4208HGRY color sticker,,1
20005233,PM080464,PM080464 Box mark,,1
20005234,PM080465,PM080465 CH-4208HGBLK color sticker,,1
20005235,PM080466,PM080466 Box mark,,1
20005236,PM080476,PM080476 CH-4208HGBLU large warning label,,1
20005237,PM080477,PM080477 CH-4208HGRY large warning label,,1
20005238,PM080478,PM080478 CH-4208HGBLK large warning label,,1
20005579,20005579,เทปกาว2หน้า 48mmx20Y Phoenix,,1
30023032,P002578,P002578 BBS Holder Front Reinf Bend,200,1
30023033,P002578,P002578 BBS Holder Front Reinf Laser,900,1
30023065,P001089,P001089 power cord cover 74x74x1.5,810,1
30023066,P002563,P002563 Locking Slide Holder Bend,200,1
30023067,P002563,P002563 Locking Slide Holder Laser,900,1
30023068,P002565,P002565 Side Panel Left IPC,,1
30023069,P002566,P002566 Cover Support Left Press,150,1
30023070,P002567,P002567 Side Panel Right IPC,,1
30023071,P002568,P002568 Cover Support Right Press,150,1
30023072,P002572,P002572 Cover Left Bend,400,1
30023073,P002574,P002574 Cover Right Bend,400,1
30023074,P002582,P002582 Middle Divided Plate Reinf Bend,200,1
30023075,P002582,P002582 Middle Divided Plate Reinf Laser,720,1
30023076,P002589,P002589 Top Cover Left Press,300,1
30023077,P002589,P002589 Top Cover Left Spot,85.71428571,1
30023078,P002590,P002590 Top Cover Right Press,300,1
30023079,P002590,P002590 Top Cover Right Spot,85.71428571,1
30023082,P002874,P002874 Rear Plate Bend,200,1
30023083,P002876,P002876 Top Panel Bend,80,1
30023084,P002877,P002877 Bottom Panel Bend,66.66666667,1
30023085,P002878,P002878 Bottom Reinf Bend,100,1
30023086,P002879,P002879 BBS Holder Left Bend,150,1
30023087,P002879,P002879 BBS Holder Left Press,100,1
30023088,P002880,P002880 BBS Holder Reinf Bend,200,1
30023089,P002880,P002880 BBS Holder Reinf Laser,900,1
30023090,P002881,P002881 BBS Holder Right Bend,150,1
30023091,P002881,P002881 BBS Holder Right Press,100,1
30023092,P002882,P002882 Middle Divided Left Bend,66.66666667,1
30023093,P002882,P002882 Middle Divided Left Press,150,1
30023094,P002883,P002883 Middle Divided Right Bend,133.3333333,1
30023095,P002883,P002883 Middle Divided Right Press,150,1
30023096,P002884,P002884 Balance Bar Bend,200,1
30023097,P002885,P002885 Top Lid Bend,30.76923077,1
30023098,P002885,P002885 Top Lid Weld,22.5,1
30023101,P002887,P002887 Lock Hook Paint,810,1
30023102,P002889,P002889 Drawer Back Big(Left) Bend,400,1
30023103,P002889,P002889 Drawer Back Big(Left) Press,300,1
30023104,P002890,P002890 Drawer Back Extra Big(Left) Bend,400,1
30023105,P002890,P002890 Drawer Back Extra Big(Left) Press,300,1
30023106,P002891,P002891 Drawer Back Small Right Bend,400,1
30023107,P002891,P002891 Drawer Back Small Right Press,300,1
30023108,P002892,P002892 Drawer Back Big Right Bend,400,1
30023109,P002892,P002892 Drawer Back Big Right Press,300,1
30023115,P002927,P002927 Drawer Handle Small Right Press,300,1
30023122,U000455,U000455 Body Paint,90,1
30023123,U000455,U000455 Body Spot,7.045009785,1
30023124,U000455,U000455 Body Weld,10,1
30023125,U000456,U000456 Top Lid Paint,90,1
30023126,U000456,U000456 Top Lid Spot,14.34262948,1
30023127,U000457,U000457 Drawer Big(Left) Paint,360,1
30023128,U000457,U000457 Drawer Big(Left) Spot,32.72727273,1
30023129,U000458,U000458 Drawer Extra Big(Left) Paint,360,1
30023130,U000458,U000458 Drawer Extra Big(Left) Spot,27.69230769,1
30023131,U000459,U000459 Drawer Small Right Paint,360,1
30023132,U000459,U000459 Drawer Small Right Spot,51.42857143,1
30023133,U000460,U000460 P002930 Drawer Big Right Paint,360,1
30023134,U000460,U000460 P002930 Drawer Big Right Spot,40,1
30023135,U000476,U000476 Rear Plate Spot,36,1
30023136,U000477,U000477 Side Panel Left Spot,90,1
30023137,U000477,U000477 Side Panel Right Spot,90,1
30023138,U000478,U000478 Top Panel Spot,360,1
30023139,U000479,U000479 Cover Left Spot,20.45454545,1
30023140,U000479,U000479 Cover Right Spot,20.45454545,1
30023141,U000480,U000480 Bottom Panel Spot,20,1
30023142,U000481,U000481 BBS Holder Left Spot,72,1
30023143,U000481,U000481 BBS Holder Right Spot,72,1
30023144,U000482,U000482 Middle Divided Spot,26.08695652,1
30023234,P002564,P002564 Locking Slide Rollformer,300,1
30023564,U000456BLK,U000456BLK Top Lid Paint,90,1
30023565,U000455BLK,U000455BLK Body Paint,90,1
30023566,U000457BLK,U000457BLK Drawer Big(Left) Paint,360,1
30023567,U000458BLK,U000458BLK Drawer Extra Big(Left) Paint,360,1
30023568,U000459BLK,U000459BLK Drawer Small Right Paint,360,1
30023569,U000460BLK,U000460BLK Drawer Big Right Paint,360,1
30023570,P002887BLK,P002887BLK Lock Hook Paint,810,1
30023571,U000456BLU,U000456BLU Top Lid Paint,90,1
30023572,U000455BLU,U000455BLU Body Paint,90,1
30023573,U000457BLU,U000457BLU Drawer Big(Left) Paint,360,1
30023574,U000458BLU,U000458BLU Drawer Extra Big(Left) Paint,360,1
30023575,U000459BLU,U000459BLU Drawer Small Right Paint,360,1
30023576,U000460BLU,U000460BLU Drawer Big Right Paint,360,1
30023577,P002887BLU,P002887BLU Lock Hook Paint,810,1
30023578,U000456GRY,U000456GRY Top Lid Paint,90,1
30023579,U000455GRY,U000455GRY Body Paint,90,1
30023580,U000457GRY,U000457GRY Drawer Big(Left) Paint,360,1
30023581,U000458GRY,U000458GRY Drawer Extra Big(Left) Paint,360,1
30023582,U000459GRY,U000459GRY Drawer Small Right Paint,360,1
30023583,U000460GRY,U000460GRY Drawer Big Right Paint,360,1
30023584,P002887GRY,P002887GRY Lock Hook Paint,810,1
40013721,CH-4208HGR,CH-4208HGR,50,1
40013811,CH-4208HGBLK,CH-4208HGBLK,25,1
40013813,CH-4208HGGRY,CH-4208HGGRY,25,1
40013815,CH-4208HGBLU,CH-4208HGBLU,25,1
30xxx_U000477,U000477,U000477 Side Panel Left Weld,,1
10028467,P000690,P000690 Open aluminum rivet 4.8x10mm,,1
10034180,P003227,P003227 Hexagonal flat head rivet nut M8,,1
10034201,P002585,P002585 Four tooth rear lock,,1
10034202,P002604,P002604 Drive shaft,,1
10034203,P002605,P002605 CH 5608HGR lock head lock hook,,1
10034204,P002606,P002606 Hinge 1330×38×1.2,,1
10034207,P002613,P002613 Air pressure bracket,,1
10034248,P001089,P001089 Power cord cover,,1
10034249,P002562,P002562 Rear Cover,,1
10034256,P002569,P002569 Top Panel,,1
10034257,P002570,P002570 Top Panel Reinf,,1
10034261,P002575,P002575 Bottom Back ,,1
10034262,P002576,P002576 Bottom Back Reinf,,1
10034263,P002577,P002577 Inner Plate Left,,1
10034265,P002579,P002579 Inner Plate Right,,1
10034266,P002580,P002580 Middle Partition Left,,1
10034267,P002581,P002581 Middle Partition Right,,1
10034270,P002584,P002584 Rear Lock Connecting Tabs,,1
10034271,P002586,P002586 Top Cover,,1
10034272,P002587,P002587 Top Cover Reinf,,1
10034276,P002591,P002591 Lock Hook,,1
10034279,P002594,P002594 Drawer Back Small Left,,1
10034282,P002597,P002597 Drawer Back Big Left,,1
10034283,P002598,P002598 Drawer Handle Small Right,,1
10034284,P002599,P002599 Drawer Body Small Right,,1
10034285,P002600,P002600 Drawer Back Small Right,,1
10034287,P002602,P002602 Drawer Body Big Right,,1
10034288,P002603,P002603 Drawer Back Big Right,,1
20004402,P001402,P001402 EPE corner guard 120×120×20mm,,1
20004926,P002616,P002616 Cardboard corner guard 70x70x1460,,1
20004932,P003321,P003321 Foam edge guard 1000×50×50mm,,1
20004933,P003322,P003322 Foam edge guard 570×50×50mm,,1
20004940,PM030257,PM030257 CH-5608HGR five-sided carton,,1
